SAMPLED_DATE,RESULT_VALUE,COMPONENT_NAME
2024-06-15 00:10:00,0.01,EDC
2024-06-15 05:20:00,0.0,EDC
2024-06-15 16:30:00,0.01,EDC
2024-06-16 00:19:00,0.01,EDC
2024-06-16 06:26:00,0.01,EDC
2024-06-16 16:15:00,0.01,EDC
2024-06-17 00:29:00,0.01,EDC
2024-06-17 06:28:00,0.01,EDC
2024-06-17 16:15:00,0.01,EDC
2024-06-18 00:26:00,0.01,EDC
2024-06-18 06:55:00,0.01,EDC
2024-06-18 16:15:00,0.01,EDC
2024-06-19 00:10:00,0.01,EDC
2024-06-19 06:25:00,0.01,EDC
2024-06-19 16:15:00,0.01,EDC
2024-06-20 00:10:00,633.0,EDC
2024-06-20 06:20:00,0.9,EDC
2024-06-20 18:25:00,0.9,EDC
2024-06-21 00:30:00,0.2,EDC
2024-06-21 05:30:00,0.3,EDC
2024-06-21 16:20:00,0.15,EDC
2024-06-22 00:30:00,0.1,EDC
2024-06-22 06:00:00,0.1,EDC
2024-06-22 16:30:00,0.1,EDC
2024-06-23 00:20:00,0.5,EDC
2024-06-23 06:35:00,0.1,EDC
2024-06-23 16:30:00,0.1,EDC
2024-06-24 00:15:00,0.02,EDC
2024-06-24 06:00:00,0.02,EDC
2024-06-24 16:30:00,0.01,EDC
2024-06-25 00:10:00,0.01,EDC
2024-06-25 06:30:00,0.01,EDC
2024-06-26 00:15:00,0.2,EDC
2024-06-26 06:20:00,0.0,EDC
2024-06-26 16:40:00,0.01,EDC
2024-06-27 00:10:00,0.01,EDC
2024-06-27 06:20:00,0.01,EDC
2024-06-27 16:40:00,0.01,EDC
2024-06-28 00:30:00,0.0,EDC
2024-06-28 06:10:00,0.01,EDC
2024-06-28 16:30:00,0.01,EDC
2024-06-29 00:30:00,0.01,EDC
2024-06-29 06:20:00,0.01,EDC
2024-06-29 16:15:00,0.01,EDC
2024-06-30 00:30:00,0.01,EDC
2024-06-30 06:10:00,0.01,EDC
2024-06-30 16:05:00,0.01,EDC
2024-07-01 00:10:00,0.0,EDC
2024-07-01 06:10:00,0.0,EDC
2024-07-01 16:15:00,0.01,EDC
2024-07-02 00:15:00,0.01,EDC
2024-07-02 06:30:00,0.01,EDC
2024-07-02 15:50:00,0.01,EDC
2024-07-03 00:10:00,0.01,EDC
2024-07-03 06:30:00,0.01,EDC
2024-07-03 16:16:00,0.02,EDC
2024-07-04 00:10:00,0.01,EDC
2024-07-04 06:45:00,0.02,EDC
2024-07-04 16:18:00,0.01,EDC
2024-07-05 00:05:00,0.01,EDC
2024-07-05 06:20:00,0.01,EDC
2024-07-05 16:30:00,0.01,EDC
2024-07-06 00:15:00,0.01,EDC
2024-07-06 06:30:00,0.01,EDC
2024-07-06 16:15:00,0.01,EDC
2024-07-07 00:30:00,0.01,EDC
2024-07-07 07:00:00,0.01,EDC
2024-07-07 16:00:00,0.01,EDC
2024-07-08 00:10:00,0.01,EDC
2024-07-08 06:00:00,0.01,EDC
2024-07-08 16:30:00,0.01,EDC
2024-07-09 00:30:00,0.01,EDC
2024-07-09 06:15:00,0.01,EDC
2024-07-09 16:30:00,0.01,EDC
2024-07-10 00:25:00,0.01,EDC
2024-07-10 06:40:00,0.01,EDC
2024-07-10 16:30:00,0.01,EDC
