"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,2600,800,900,102.286508,102.376944,0.243968974,OK
50,10,2600,800,1000,102.468283,102.629311,0.248256955,OK
50,10,2600,800,1100,102.649187,102.879846,0.252645856,OK
50,10,2600,800,1200,102.829235,103.128575,0.2571383,OK
50,10,2600,800,1300,103.008439,103.375529,0.261736952,OK
50,10,2600,800,1400,103.186813,103.620735,0.266444548,OK
50,10,2600,900,1000,102.544648,102.629312,0.253023164,OK
50,10,2600,900,1100,102.725345,102.879845,0.257500325,OK
50,10,2600,900,1200,102.905187,103.128575,0.262083076,OK
50,10,2600,900,1300,103.084186,103.375529,0.266774157,OK
50,10,2600,900,1400,103.262357,103.620734,0.271576355,OK
50,10,2600,900,1500,103.439712,103.86422,0.276492532,OK
50,10,2600,1000,1100,102.801076,102.879846,0.262416554,OK
50,10,2600,1000,1200,102.980713,103.128575,0.267090858,OK
50,10,2600,1000,1300,103.15951,103.375528,0.271875611,OK
50,10,2600,1000,1400,103.337479,103.620734,0.276773676,OK
50,10,2600,1000,1500,103.514634,103.864219,0.281787965,OK
50,10,2600,1000,1600,103.690987,104.106011,0.286921471,OK
50,10,2600,1100,1200,103.055822,103.128576,0.272162174,OK
50,10,2600,1100,1300,103.234417,103.375528,0.277041871,OK
50,10,2600,1100,1400,103.412186,103.620734,0.28203707,OK
50,10,2600,1100,1500,103.589142,103.864219,0.287150763,OK
50,10,2600,1100,1600,103.765298,104.10601,0.292385993,OK
50,10,2600,1100,1700,103.940666,104.346134,0.297745887,OK
50,10,2600,1200,1300,103.308914,103.375529,0.282273464,OK
50,10,2600,1200,1400,103.486485,103.620733,0.287367094,OK
50,10,2600,1200,1500,103.663245,103.864218,0.292581484,OK
50,10,2600,1200,1600,103.839205,104.10601,0.297919755,OK
50,10,2600,1200,1700,104.014378,104.346134,0.303385087,OK
50,10,2600,1200,1800,104.188777,104.584615,0.308980747,OK
50,10,2600,1300,1400,103.560383,103.620734,0.292764278,OK
50,10,2600,1300,1500,103.736946,103.864218,0.298080685,OK
50,10,2600,1300,1600,103.912713,104.10601,0.303523316,OK
50,10,2600,1300,1700,104.087693,104.346133,0.309095429,OK
50,10,2600,1300,1800,104.2619,104.584615,0.314800343,OK
50,10,2600,1300,1900,104.435346,104.821479,0.320641471,OK
50,10,2600,1400,1500,103.810255,103.864219,0.303648895,OK
