LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,time
13.0077715,137.8051453,1250.0,105.594902,109.1120911,3091.779541,3106.1057129,51.1158333,2024-06-19 01:40:00
13.0769472,137.807251,1221.1037598,106.142067,109.1439209,3115.6286621,3127.8491211,48.3758507,2024-06-19 01:50:00
13.0796442,137.8093567,1251.9141846,105.9316406,109.1757507,3099.5666504,3088.2531738,50.768383,2024-06-19 02:00:00
13.0503674,137.8114624,1235.3179932,106.3000031,109.2075806,3200.0461426,3206.357666,48.9263573,2024-06-19 02:10:00
12.9832153,137.8135681,1229.4147949,106.013031,109.2394104,3136.9575195,3126.798584,50.8701248,2024-06-19 02:20:00
13.0125227,137.8156738,1234.6085205,106.2622833,109.2712402,3164.6940918,3164.8237305,49.0898552,2024-06-19 02:30:00
13.0431042,137.8177643,1246.4061279,105.8784485,109.3000031,3123.5061035,3115.8212891,50.6977882,2024-06-19 02:40:00
12.9753056,137.81987,1245.7978516,106.1670914,109.3000031,3176.1057129,3166.7607422,49.2999992,2024-06-19 02:50:00
12.9350185,137.8219757,1239.8112793,105.7179871,109.3000031,3176.605957,3169.2880859,50.4100151,2024-06-19 03:00:00
12.9499998,137.8240814,1245.9008789,105.5281677,109.3000031,3182.5905762,3181.9401855,49.8675613,2024-06-19 03:10:00
13.0279169,137.8261871,1255.4580078,105.7338257,109.2867432,3092.7145996,3098.1281738,50.5638542,2024-06-19 03:20:00
13.0638695,137.8282928,1226.7874756,106.0999985,109.2546616,3148.2504883,3174.8730469,48.7000008,2024-06-19 03:30:00
13.0691814,137.8303986,1218.6832275,105.9226456,109.2225723,3114.8234863,3114.0300293,51.0,2024-06-19 03:40:00
13.1202955,137.832489,1239.3591309,106.0999985,109.1904831,3153.1044922,3143.9003906,49.118866,2024-06-19 03:50:00
13.0608721,137.8345947,1219.6540527,105.9000015,109.1584015,3079.6630859,3070.6630859,50.601738,2024-06-19 04:00:00
12.9649038,137.8367004,1252.0692139,105.9000015,109.1263123,3101.9008789,3092.3928223,49.5,2024-06-19 04:10:00
13.0441399,137.8388062,1225.6591797,105.6192474,109.1091461,3032.0,2989.0578613,50.8553085,2024-06-19 04:20:00
12.990859,137.8409119,1234.2633057,105.8000031,109.159996,3121.6853027,3107.4924316,49.0104599,2024-06-19 04:30:00
12.9989939,137.8430176,1245.0,105.7336349,109.1999969,3095.1591797,3091.935791,51.1965942,2024-06-19 04:40:00
12.9968958,137.8451233,1229.7225342,105.7846985,109.1999969,3065.8666992,3059.8666992,49.1890106,2024-06-19 04:50:00
13.0547972,137.847229,1234.8712158,105.7234421,109.1999969,3103.9775391,3112.9091797,50.5201721,2024-06-19 05:00:00
13.0446911,137.8493195,1247.5905762,105.6780624,109.1999969,3113.7741699,3109.2971191,49.6597786,2024-06-19 05:10:00
13.033083,137.8514252,1236.8848877,105.9000015,109.1999969,3042.0732422,3038.0732422,50.0,2024-06-19 05:20:00
12.9598122,137.8535309,1230.7025146,105.5346375,109.1999969,3098.3562012,3095.3562012,50.0,2024-06-19 05:30:00
13.0041552,137.8556366,1230.798584,105.8153458,109.1999969,3074.6662598,3069.0332031,50.1483078,2024-06-19 05:40:00
12.9644041,137.8577423,1227.6833496,105.8867188,109.1999969,3038.6159668,3027.1257324,49.9983368,2024-06-19 05:50:00
13.018095,137.859848,1230.892334,105.9000015,109.1999969,3001.8630371,2985.6218262,50.1053658,2024-06-19 06:00:00
13.0204706,137.8619537,1216.9741211,106.0069504,109.1999969,3062.189209,3020.894043,49.8127785,2024-06-19 06:10:00
12.9754906,137.8640442,1242.1544189,105.9350128,109.1999969,3076.5991211,3059.1992188,49.7999992,2024-06-19 06:20:00
13.0684795,137.8661499,1240.9641113,105.2922821,109.1999969,3108.0168457,3093.7358398,49.794796,2024-06-19 06:30:00
12.9761019,137.8682556,1236.6582031,105.7869644,109.1999969,3115.902832,3107.902832,50.2000008,2024-06-19 06:40:00
13.0748587,137.8703613,1245.4509277,105.7878876,109.1999969,3099.3425293,3091.3425293,49.6732788,2024-06-19 06:50:00
12.9469423,137.872467,1224.8936768,105.8100128,109.1999969,3068.3813477,3060.9174805,50.4801521,2024-06-19 07:00:00
12.8917408,137.8745728,1222.2385254,105.9504547,109.1999969,3040.5236816,3029.4882813,49.9929771,2024-06-19 07:10:00
12.9766035,137.8766785,1245.8984375,105.7772293,109.1999969,3093.0222168,3081.9716797,50.334053,2024-06-19 07:20:00
12.8962097,137.8787689,1242.7266846,105.4847183,109.1999969,3184.8195801,3180.4411621,50.1109276,2024-06-19 07:30:00
12.9952679,137.8808746,1220.2077637,105.7151794,109.2256241,3128.8818359,3126.0566406,50.0701294,2024-06-19 07:40:00
12.9780741,137.8829803,1237.2753906,105.7980728,109.2547531,3109.0275879,3109.7524414,50.1974602,2024-06-19 07:50:00
